zpid,streetName,city,state,zipcode,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,rentZestimate,currency,country,taxAssessedValue,imgSrc,homeDetailUrl
247313023,200 Free Rein 18,Llano,TX,78657,317900,2,2,1177,TOWNHOUSE,FOR_SALE,,USD,USA,165740,https://photos.zillowstatic.com/fp/97a8f06e3a3d61a89195e8b8a735349a-p_e.jpg,https://www.zillow.com/homedetails/200-Free-Rein-18-Llano-TX-78657/247313023_zpid/
,,,,,,,,,,,,,,,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.635366439819336,-95.23838806152344&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=i6xSdw0YL9syHa_E3YpAWJbHSpg=",https://www.zillow.com/b/cedarwild-condominiums-houston-tx-5Xzddf/
2078149633,4445 Cedar Pass Dr APT 143,Corpus Christi,TX,78413,189900,2,2,1216,TOWNHOUSE,FOR_SALE,1599,USD,USA,,https://photos.zillowstatic.com/fp/5a982f0499a3062f8955b3c067dbed2f-p_e.jpg,https://www.zillow.com/homedetails/4445-Cedar-Pass-Dr-APT-143-Corpus-Christi-TX-78413/2078149633_zpid/
28325931,2601 Augusta Dr APT 8,Houston,TX,77057,210000,2,2,1254,TOWNHOUSE,FOR_SALE,1875,USD,USA,182219,https://photos.zillowstatic.com/fp/b3082f53004ebeb7e607dfd8c80ed56a-p_e.jpg,https://www.zillow.com/homedetails/2601-Augusta-Dr-APT-8-Houston-TX-77057/28325931_zpid/
2081369563,18 Lakeway St,Conroe,TX,77304,152500,3,2,1584,TOWNHOUSE,FOR_SALE,1695,USD,USA,,https://photos.zillowstatic.com/fp/5fddb4dcff3da13a4c1245fe72a19236-p_e.jpg,https://www.zillow.com/homedetails/18-Lakeway-St-Conroe-TX-77304/2081369563_zpid/
68409653,915 E Heights Hollow Ln,Houston,TX,77007,350000,2,2,1644,TOWNHOUSE,FOR_SALE,2350,USD,USA,333345,https://photos.zillowstatic.com/fp/5647ad02cc2f87bafa362e1e432be361-p_e.jpg,https://www.zillow.com/homedetails/915-E-Heights-Hollow-Ln-Houston-TX-77007/68409653_zpid/
70574217,8000 Caladium Dr,North Richland Hills,TX,76180,315000,2,2,1372,TOWNHOUSE,FOR_SALE,,USD,USA,255889,https://photos.zillowstatic.com/fp/c48099f5f2731586889700d064095c34-p_e.jpg,https://www.zillow.com/homedetails/8000-Caladium-Dr-North-Richland-Hills-TX-76180/70574217_zpid/
169256964,3428 Ridge Smoke,San Antonio,TX,78247,350000,3,5,,MULTI_FAMILY,FOR_SALE,2895,USD,USA,232470,https://photos.zillowstatic.com/fp/c831086b2fb717897bbc92a378afb7b0-p_e.jpg,https://www.zillow.com/homedetails/3428-Ridge-Smoke-San-Antonio-TX-78247/169256964_zpid/
29428930,903 Greenmeer Ln,Austin,TX,78758,289990,2,3,1354,TOWNHOUSE,FOR_SALE,,USD,USA,370321,https://photos.zillowstatic.com/fp/d3e93fc80226e5f6613a69ee50a54bc6-p_e.jpg,https://www.zillow.com/homedetails/903-Greenmeer-Ln-Austin-TX-78758/29428930_zpid/
169129060,2014 Anchor Dr,San Antonio,TX,78213,389500,6,6,3078,MULTI_FAMILY,FOR_SALE,3900,USD,USA,361720,https://photos.zillowstatic.com/fp/391cbc68f2ca924673f9afbeb814783c-p_e.jpg,https://www.zillow.com/homedetails/2014-Anchor-Dr-San-Antonio-TX-78213/169129060_zpid/
26296089,4 N Rue Charles,San Antonio,TX,78217,275000,3,2,1756,TOWNHOUSE,FOR_SALE,1826,USD,USA,258830,https://photos.zillowstatic.com/fp/07e864f49787ffb980a03541e8f1c831-p_e.jpg,https://www.zillow.com/homedetails/4-N-Rue-Charles-San-Antonio-TX-78217/26296089_zpid/
27749798,2321 Steel St,Houston,TX,77098,485000,3,2,1984,TOWNHOUSE,FOR_SALE,2749,USD,USA,340429,https://photos.zillowstatic.com/fp/457b555211f645d34fdab304f55b97ea-p_e.jpg,https://www.zillow.com/homedetails/2321-Steel-St-Houston-TX-77098/27749798_zpid/
27042751,1911 Place One Ln,Garland,TX,75042,255000,3,3,1760,TOWNHOUSE,FOR_SALE,2199,USD,USA,193490,https://photos.zillowstatic.com/fp/17eee5a23b19636ab1282c0a308cdab7-p_e.jpg,https://www.zillow.com/homedetails/1911-Place-One-Ln-Garland-TX-75042/27042751_zpid/
2058019448,724 Versailles St,Mesquite,TX,75149,254999,2,3,1326,MULTI_FAMILY,FOR_SALE,1852,USD,USA,,https://photos.zillowstatic.com/fp/82c147d66819e928f07bb4207210a371-p_e.jpg,https://www.zillow.com/homedetails/724-Versailles-St-Mesquite-TX-75149/2058019448_zpid/
60216260,3232 Bonsai Dr,Plano,TX,75093,355000,2,2,1346,TOWNHOUSE,FOR_SALE,,USD,USA,294224,https://photos.zillowstatic.com/fp/9cc2416707d49d47647d7672434287a5-p_e.jpg,https://www.zillow.com/homedetails/3232-Bonsai-Dr-Plano-TX-75093/60216260_zpid/
26237318,1206 Allende Dr,San Antonio,TX,78237,150000,3,4,1464,MULTI_FAMILY,FOR_SALE,1550,USD,USA,162840,https://photos.zillowstatic.com/fp/a197ff067877fb08fc5e6df319bcd81d-p_e.jpg,https://www.zillow.com/homedetails/1206-Allende-Dr-San-Antonio-TX-78237/26237318_zpid/
112168028,6304 Riverview Way,Houston,TX,77057,330000,3,2,1458,TOWNHOUSE,FOR_SALE,1999,USD,USA,228680,https://photos.zillowstatic.com/fp/90ba3ec6f49ad7df73ad0d89184a3510-p_e.jpg,https://www.zillow.com/homedetails/6304-Riverview-Way-Houston-TX-77057/112168028_zpid/
49558180,221 W Washington St,Seguin,TX,78155,350000,5,7,3138,MULTI_FAMILY,FOR_SALE,2997,USD,USA,203132,https://photos.zillowstatic.com/fp/5cf3e71f6bae7749e772639a2a3ad2fd-p_e.jpg,https://www.zillow.com/homedetails/221-W-Washington-St-Seguin-TX-78155/49558180_zpid/
125544962,325 Carolcrest Ln UNIT 16,Livingston,TX,77351,234900,3,3,1602,TOWNHOUSE,FOR_SALE,2050,USD,USA,195036,https://photos.zillowstatic.com/fp/7e2a221177a36b9bf84510c79787f554-p_e.jpg,https://www.zillow.com/homedetails/325-Carolcrest-Ln-UNIT-16-Livingston-TX-77351/125544962_zpid/
26259744,407 Kathy Dr,San Antonio,TX,78223,185000,2,4,1002,MULTI_FAMILY,FOR_SALE,1547,USD,USA,159010,https://photos.zillowstatic.com/fp/49561f90e53f68ed07714dee4f70c760-p_e.jpg,https://www.zillow.com/homedetails/407-Kathy-Dr-San-Antonio-TX-78223/26259744_zpid/
185238421,83 Verde Ranch Loop,Leander,TX,78641,296000,3,3,1570,TOWNHOUSE,FOR_SALE,2149,USD,USA,331161,https://photos.zillowstatic.com/fp/bd5a147d97f34cd4fa9e917709568009-p_e.jpg,https://www.zillow.com/homedetails/83-Verde-Ranch-Loop-Leander-TX-78641/185238421_zpid/
28204110,91 Litchfield Ln,Houston,TX,77024,299900,3,3,1752,TOWNHOUSE,FOR_SALE,1999,USD,USA,260123,https://photos.zillowstatic.com/fp/a00f5898f46d00d6c10fdf990cd854aa-p_e.jpg,https://www.zillow.com/homedetails/91-Litchfield-Ln-Houston-TX-77024/28204110_zpid/
2056843548,7517 Oak Chas,San Antonio,TX,78239,475000,8,12,4552,MULTI_FAMILY,FOR_SALE,,USD,USA,,https://photos.zillowstatic.com/fp/d085cec10adef77ca546ec54a57f3b43-p_e.jpg,https://www.zillow.com/homedetails/7517-Oak-Chas-San-Antonio-TX-78239/2056843548_zpid/
53095318,8831 Holly St,Frisco,TX,75034,384500,2,3,1668,TOWNHOUSE,FOR_SALE,2603,USD,USA,336808,https://photos.zillowstatic.com/fp/bee9cf0ed50afe944f93aaa76bbd31bd-p_e.jpg,https://www.zillow.com/homedetails/8831-Holly-St-Frisco-TX-75034/53095318_zpid/
28857855,106 Green Point Dr,Corpus Christi,TX,78405,195000,3,6,2279,MULTI_FAMILY,FOR_SALE,2100,USD,USA,115605,https://photos.zillowstatic.com/fp/0053bc7461aea74feb52ebaac9a7b5ca-p_e.jpg,https://www.zillow.com/homedetails/106-Green-Point-Dr-Corpus-Christi-TX-78405/28857855_zpid/
29492448,5147 Fort Clark Dr,Austin,TX,78745,199000,2,3,1234,TOWNHOUSE,FOR_SALE,,USD,USA,405692,https://photos.zillowstatic.com/fp/c1a968cd9b045f6e8359758c3e22623d-p_e.jpg,https://www.zillow.com/homedetails/5147-Fort-Clark-Dr-Austin-TX-78745/29492448_zpid/
169233771,12130 Vista Nogal St,San Antonio,TX,78213,450000,6,6,2874,MULTI_FAMILY,FOR_SALE,1875,USD,USA,309550,https://photos.zillowstatic.com/fp/0ee43870f19167e3457cab17dfa8839e-p_e.jpg,https://www.zillow.com/homedetails/12130-Vista-Nogal-St-San-Antonio-TX-78213/169233771_zpid/
28192048,1947 Country Village Blvd,Humble,TX,77338,184900,2,3,1682,MULTI_FAMILY,FOR_SALE,1729,USD,USA,126367,https://photos.zillowstatic.com/fp/c79e7ee33f9c10d97c67a09317903930-p_e.jpg,https://www.zillow.com/homedetails/1947-Country-Village-Blvd-Humble-TX-77338/28192048_zpid/
2061290629,109 Delores St APT B,Conroe,TX,77301,165900,2,3,1357,TOWNHOUSE,FOR_SALE,1625,USD,USA,,https://photos.zillowstatic.com/fp/fc905a3163b5a14bea96a7ff51769c66-p_e.jpg,https://www.zillow.com/homedetails/109-Delores-St-APT-B-Conroe-TX-77301/2061290629_zpid/
26943573,1802 Lakecrest Ct,Carrollton,TX,75006,345000,3,3,2054,TOWNHOUSE,FOR_SALE,,USD,USA,288870,https://photos.zillowstatic.com/fp/58ae0413045abc1f0c37052487993925-p_e.jpg,https://www.zillow.com/homedetails/1802-Lakecrest-Ct-Carrollton-TX-75006/26943573_zpid/
27601408,5114 Ridgevan Dr,Houston,TX,77053,195000,2,3,1004,TOWNHOUSE,FOR_SALE,1400,USD,USA,68200,https://photos.zillowstatic.com/fp/963b020686c77fc63c9a7dd57985fa8e-p_e.jpg,https://www.zillow.com/homedetails/5114-Ridgevan-Dr-Houston-TX-77053/27601408_zpid/
80553112,11 Versante Ct,Houston,TX,77070,272000,4,3,2284,TOWNHOUSE,FOR_SALE,2250,USD,USA,266404,https://photos.zillowstatic.com/fp/c1cd908dd1cda4acc21d02859e8c0db7-p_e.jpg,https://www.zillow.com/homedetails/11-Versante-Ct-Houston-TX-77070/80553112_zpid/
305294313,8743 Tubelo Mill Dr,Missouri City,TX,77459,275000,3,3,1728,TOWNHOUSE,FOR_SALE,2250,USD,USA,231340,https://photos.zillowstatic.com/fp/3a67010d7f950bb352e476dd3b0dcb3e-p_e.jpg,https://www.zillow.com/homedetails/8743-Tubelo-Mill-Dr-Missouri-City-TX-77459/305294313_zpid/
26950625,2163 Villa Pl A,Carrollton,TX,75006,225500,2,3,1457,MULTI_FAMILY,FOR_SALE,2199,USD,USA,181790,https://photos.zillowstatic.com/fp/892e1c2c95d2c85dd56dcd2a0761f909-p_e.jpg,https://www.zillow.com/homedetails/2163-Villa-Pl-A-Carrollton-TX-75006/26950625_zpid/
28287058,1205 Autrey St APT 12,Houston,TX,77006,169000,2,2,800,TOWNHOUSE,FOR_SALE,1815,USD,USA,117053,https://photos.zillowstatic.com/fp/e4b591179d29fdd0d46ce7cf23c58c0c-p_e.jpg,https://www.zillow.com/homedetails/1205-Autrey-St-APT-12-Houston-TX-77006/28287058_zpid/
29125143,3208 McLean St,Fort Worth,TX,76103,462000,,8,3248,MULTI_FAMILY,FOR_SALE,3200,USD,USA,308000,https://photos.zillowstatic.com/fp/75bca6563cbee78ed388ee88a68587a7-p_e.jpg,https://www.zillow.com/homedetails/3208-McLean-St-Fort-Worth-TX-76103/29125143_zpid/
80597423,13600 Breton Ridge St BUILDING 27A,Houston,TX,77070,189000,1,2,1219,TOWNHOUSE,FOR_SALE,1694,USD,USA,181234,https://photos.zillowstatic.com/fp/3aacfcecdad1e1e14d0aff9264527425-p_e.jpg,https://www.zillow.com/homedetails/13600-Breton-Ridge-St-BUILDING-27A-Houston-TX-77070/80597423_zpid/
27030178,4904 Windward Psge,Garland,TX,75043,203000,2,3,1220,TOWNHOUSE,FOR_SALE,1875,USD,USA,166180,https://photos.zillowstatic.com/fp/1b4b93ff4223b8f9672986cacb06273c-p_e.jpg,https://www.zillow.com/homedetails/4904-Windward-Psge-Garland-TX-75043/27030178_zpid/
26739526,6738 Eastridge Dr 105,Dallas,TX,75231,139000,2,2,1732,TOWNHOUSE,FOR_SALE,,USD,USA,164540,https://photos.zillowstatic.com/fp/a9964154ec1341fb85c4828dbea99c3e-p_e.jpg,https://www.zillow.com/homedetails/6738-Eastridge-Dr-105-Dallas-TX-75231/26739526_zpid/
65106539,22 Cross Cyn,San Antonio,TX,78247,229900,3,2,1120,TOWNHOUSE,FOR_SALE,1410,USD,USA,145000,https://photos.zillowstatic.com/fp/f21e6287b336a5a09bf6dbb89a0568c8-p_e.jpg,https://www.zillow.com/homedetails/22-Cross-Cyn-San-Antonio-TX-78247/65106539_zpid/
27657304,3616 Avenue M 1 2,Galveston,TX,77550,199000,1,2,1544,MULTI_FAMILY,FOR_SALE,1350,USD,USA,252170,https://photos.zillowstatic.com/fp/31106b5136b320f99f57e99968c63bc7-p_e.jpg,https://www.zillow.com/homedetails/3616-Avenue-M-1-2-Galveston-TX-77550/27657304_zpid/
27865311,2102 Margaret St,Houston,TX,77093,389000,4,6,2823,MULTI_FAMILY,FOR_SALE,2775,USD,USA,164829,https://photos.zillowstatic.com/fp/3bbe3fc3d933f96831596a8ebf8498be-p_e.jpg,https://www.zillow.com/homedetails/2102-Margaret-St-Houston-TX-77093/27865311_zpid/
,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/e8a733ffa6e21c0a63de7eafe689f665-p_e.jpg,"https://www.zillow.com/b/Killeen-TX/31.096848,-97.75529_ll/"
28243586,2318 Gemini St,Houston,TX,77058,240000,3,3,1429,TOWNHOUSE,FOR_SALE,1900,USD,USA,202664,https://photos.zillowstatic.com/fp/28a46c4e079c8d62273db123c7d03b84-p_e.jpg,https://www.zillow.com/homedetails/2318-Gemini-St-Houston-TX-77058/28243586_zpid/
27273960,662 Harvest Hill St,Lewisville,TX,75067,235000,1,2,1287,MULTI_FAMILY,FOR_SALE,,USD,USA,211122,https://photos.zillowstatic.com/fp/6d7e2cfccf77820d10f068703a00ec8e-p_e.jpg,https://www.zillow.com/homedetails/662-Harvest-Hill-St-Lewisville-TX-75067/27273960_zpid/
69693067,501 Legends Dr,Lewisville,TX,75057,335000,3,3,1691,TOWNHOUSE,FOR_SALE,,USD,USA,271125,https://photos.zillowstatic.com/fp/ea2d74158bff475ac0d63be5698a2d5b-p_e.jpg,https://www.zillow.com/homedetails/501-Legends-Dr-Lewisville-TX-75057/69693067_zpid/
28207976,5763 Easthampton Dr UNIT D,Houston,TX,77039,269000,3,3,2010,TOWNHOUSE,FOR_SALE,2199,USD,USA,77379,https://photos.zillowstatic.com/fp/f28dd53f0d84fa8703c474db4cb8c1e9-p_e.jpg,https://www.zillow.com/homedetails/5763-Easthampton-Dr-UNIT-D-Houston-TX-77039/28207976_zpid/
2085506757,445 Carolcrest Ln APT 312,Livingston,TX,77351,180000,2,2,896,TOWNHOUSE,FOR_SALE,1250,USD,USA,,https://photos.zillowstatic.com/fp/13dcade31b4e2be14b8c9af32f1eedd7-p_e.jpg,https://www.zillow.com/homedetails/445-Carolcrest-Ln-APT-312-Livingston-TX-77351/2085506757_zpid/
28240027,1535 Prairie Grove Dr,Houston,TX,77077,225000,2,3,1750,TOWNHOUSE,FOR_SALE,2600,USD,USA,225193,https://photos.zillowstatic.com/fp/c1161072639aeeea9bcdebb25164a1ac-p_e.jpg,https://www.zillow.com/homedetails/1535-Prairie-Grove-Dr-Houston-TX-77077/28240027_zpid/
2075017614,6313 Negley UNIT A,Kyle,TX,78640,289000,3,2,1160,TOWNHOUSE,FOR_SALE,,USD,USA,,https://photos.zillowstatic.com/fp/9cf0b09ac23485e23d53382525d97301-p_e.jpg,https://www.zillow.com/homedetails/6313-Negley-UNIT-A-Kyle-TX-78640/2075017614_zpid/
28203229,1652 S Gessner Rd,Houston,TX,77063,364995,3,2,2031,TOWNHOUSE,FOR_SALE,2400,USD,USA,299929,https://photos.zillowstatic.com/fp/86c1092d2731819cc215c9339c1eeb89-p_e.jpg,https://www.zillow.com/homedetails/1652-S-Gessner-Rd-Houston-TX-77063/28203229_zpid/
28390609,11000 Kinghurst Dr UNIT 164,Houston,TX,77099,64900,2,2,1224,TOWNHOUSE,FOR_SALE,1200,USD,USA,71743,https://photos.zillowstatic.com/fp/c20b7c49898d144e25de9e82448acc00-p_e.jpg,https://www.zillow.com/homedetails/11000-Kinghurst-Dr-UNIT-164-Houston-TX-77099/28390609_zpid/
27598270,46 Brighton Ct,Missouri City,TX,77459,210000,2,3,1508,TOWNHOUSE,FOR_SALE,1774,USD,USA,179840,https://photos.zillowstatic.com/fp/4f4cc7fe2b79629885394c624e33d37b-p_e.jpg,https://www.zillow.com/homedetails/46-Brighton-Ct-Missouri-City-TX-77459/27598270_zpid/
2105789853,12639 Ashford Meadow Dr APT E,Houston,TX,77082,210000,4,4,2192,MULTI_FAMILY,FOR_SALE,2749,USD,USA,,https://photos.zillowstatic.com/fp/4f752c30040ec9c48e9b14a55c7a69b6-p_e.jpg,https://www.zillow.com/homedetails/12639-Ashford-Meadow-Dr-APT-E-Houston-TX-77082/2105789853_zpid/
27793431,1823 Saxony Ln,Houston,TX,77058,220000,3,2,1950,TOWNHOUSE,FOR_SALE,2299,USD,USA,154956,https://photos.zillowstatic.com/fp/7602e204db47ccbb9cff62b1cc715f33-p_e.jpg,https://www.zillow.com/homedetails/1823-Saxony-Ln-Houston-TX-77058/27793431_zpid/
80557673,6118 Yorktown Meadow Ln,Houston,TX,77084,199000,3,3,1668,TOWNHOUSE,FOR_SALE,1800,USD,USA,188190,https://photos.zillowstatic.com/fp/925497702155c4e25ab0613db59eb01d-p_e.jpg,https://www.zillow.com/homedetails/6118-Yorktown-Meadow-Ln-Houston-TX-77084/80557673_zpid/
68418634,23633 Wildwood Green Way,Spring,TX,77373,189000,3,3,1444,MULTI_FAMILY,FOR_SALE,1684,USD,USA,173825,https://photos.zillowstatic.com/fp/743187c0659a65254ef7cf057ae2f3fc-p_e.jpg,https://www.zillow.com/homedetails/23633-Wildwood-Green-Way-Spring-TX-77373/68418634_zpid/
52111577,38 N Walden Elms Cir,Spring,TX,77382,300000,3,3,1559,TOWNHOUSE,FOR_SALE,1975,USD,USA,236120,https://photos.zillowstatic.com/fp/6a9fcf9c8060acdab9d0ef60bae668a5-p_e.jpg,https://www.zillow.com/homedetails/38-N-Walden-Elms-Cir-Spring-TX-77382/52111577_zpid/
28394828,3343 Maymist Dr,Katy,TX,77449,235000,2,3,1695,MULTI_FAMILY,FOR_SALE,1837,USD,USA,173200,https://photos.zillowstatic.com/fp/8a24d1c65257e8411c6ebdef37f00590-p_e.jpg,https://www.zillow.com/homedetails/3343-Maymist-Dr-Katy-TX-77449/28394828_zpid/
28164400,20 Antilles Ln,Houston,TX,77058,376000,3,2,2945,TOWNHOUSE,FOR_SALE,2999,USD,USA,309833,https://photos.zillowstatic.com/fp/4c5a8fa6965ab2482d2ed05b30509aae-p_e.jpg,https://www.zillow.com/homedetails/20-Antilles-Ln-Houston-TX-77058/28164400_zpid/
168649980,5200 McPherson Ln,McKinney,TX,75070,450000,3,3,1980,TOWNHOUSE,FOR_SALE,2749,USD,USA,388062,https://photos.zillowstatic.com/fp/29e9485ff34f436cb3b80d822d88da74-p_e.jpg,https://www.zillow.com/homedetails/5200-McPherson-Ln-McKinney-TX-75070/168649980_zpid/
2062599904,3112 Trina St,Wylie,TX,75098,294970,3,3,1336,TOWNHOUSE,FOR_SALE,2199,USD,USA,,https://photos.zillowstatic.com/fp/47a37988c7b83f5f330b1fe44a8f582b-p_e.jpg,https://www.zillow.com/homedetails/3112-Trina-St-Wylie-TX-75098/2062599904_zpid/
28755277,12250 Trail Hollow Dr,Montgomery,TX,77356,209000,3,2,1248,TOWNHOUSE,FOR_SALE,1800,USD,USA,142180,https://photos.zillowstatic.com/fp/f55e364d48c3ee64c83e59d8f19a03c8-p_e.jpg,https://www.zillow.com/homedetails/12250-Trail-Hollow-Dr-Montgomery-TX-77356/28755277_zpid/
28203280,4445 Mount Vernon St,Houston,TX,77006,495000,3,3,1859,TOWNHOUSE,FOR_SALE,2795,USD,USA,411608,https://photos.zillowstatic.com/fp/17a582cb017847b56be5364bd4bbebc7-p_e.jpg,https://www.zillow.com/homedetails/4445-Mount-Vernon-St-Houston-TX-77006/28203280_zpid/
26249915,548 Humboldt St,San Antonio,TX,78211,179500,2,4,1736,MULTI_FAMILY,FOR_SALE,1794,USD,USA,139470,https://photos.zillowstatic.com/fp/ec641970c107437973e74231e51b88e7-p_e.jpg,https://www.zillow.com/homedetails/548-Humboldt-St-San-Antonio-TX-78211/26249915_zpid/
52298868,1601 N Bois D Arc Ave,Tyler,TX,75702,249500,4,6,3353,MULTI_FAMILY,FOR_SALE,1500,USD,USA,160317,https://photos.zillowstatic.com/fp/ce3f51ad62094c20afa76cb1c6dcd464-p_e.jpg,https://www.zillow.com/homedetails/1601-N-Bois-D-Arc-Ave-Tyler-TX-75702/52298868_zpid/
126312188,14630 Bergenia Dr,Cypress,TX,77429,339989,3,3,2117,TOWNHOUSE,FOR_SALE,2299,USD,USA,301898,https://photos.zillowstatic.com/fp/218311ba197d9188bbaeb6392bf136fa-p_e.jpg,https://www.zillow.com/homedetails/14630-Bergenia-Dr-Cypress-TX-77429/126312188_zpid/
53436781,440 Arborview Dr,Garland,TX,75043,190000,2,3,1090,TOWNHOUSE,FOR_SALE,1745,USD,USA,172950,https://photos.zillowstatic.com/fp/9324dbc8340e3403367e904079c81fc7-p_e.jpg,https://www.zillow.com/homedetails/440-Arborview-Dr-Garland-TX-75043/53436781_zpid/
89639737,4325 Stassen St APT A,Houston,TX,77051,399000,3,4,4032,MULTI_FAMILY,FOR_SALE,2050,USD,USA,342918,https://photos.zillowstatic.com/fp/e3c11533c21cc11a5621f9a6f88ee2a1-p_e.jpg,https://www.zillow.com/homedetails/4325-Stassen-St-APT-A-Houston-TX-77051/89639737_zpid/
27651440,931 Laurel St,La Marque,TX,77568,249900,2,4,2237,MULTI_FAMILY,FOR_SALE,1800,USD,USA,140734,https://photos.zillowstatic.com/fp/fe22c130d8672e208ae7ffcef23a7c30-p_e.jpg,https://www.zillow.com/homedetails/931-Laurel-St-La-Marque-TX-77568/27651440_zpid/
